# Districts (tumanlar) and cities of regional subordination of Uzbekistan: level III of the
# SOATO / MHOBT classifier. Loaded by `ctl import-districts` (TZ FN-06), idempotent (upsert by slug).
#
# Source: State Statistics Committee of the Republic of Uzbekistan, departmental classifier
#   "Ma'muriy-hududiy tuzilmalarni (obyektlarni) belgilash tizimi (MHOBT/SOATO)",
#   approved by order No. 59 of 2020-07-22, file revision soato-20_04_2022.xlsx:
#   https://stat.uz/images/soato-20_04_2022.xlsx  (listed at https://stat.uz/ru/2020-05-11-05-05-43/statisticheskie-klassifikatory)
#   downloaded 2026-09-24, sha256 9d1b0c84fdef45f5b49f1c312037d64c7ec85a0f4bbfdc979115b1f4c6cafcc1
#
# Columns: soato = official 7-digit code; region = slug of the parent region seeded by migration
# 00003 (1703 andijan, 1706 bukhara, 1708 jizzakh, 1710 kashkadarya, 1712 navoi, 1714 namangan,
# 1718 samarkand, 1722 surkhandarya, 1724 syrdarya, 1726 tashkent-city, 1727 tashkent,
# 1730 fergana, 1733 khorezm, 1735 karakalpakstan); kind = district (17RR2xx) or city (17RR4xx).
#
# name_uz, name_uz_cyrl, name_ru are the official names, with these edits only:
#   - the o‘/g‘ apostrophe is written as ASCII ' like the rest of the catalog;
#   - Latin look-alike letters inside Cyrillic words (typos in the source: "Улугноpский",
#     "Мингбулакский pайон", "Заpафшан", "Шиpин", "Янгиеp", "Чиpчик", "Маpгилан",
#     "Жондоpский") are replaced by the Cyrillic letters;
#   - cities get "shahri" / "шаҳри" / "г." added so they are told apart from the district of the
#     same name (e.g. "Andijon shahri" and "Andijon tumani").
# name_en is NOT official (the classifier has no English column): it is the Uzbek Latin name
# with o'/g' marks dropped and x written kh, plus "District"/"City"; established English
# spellings are used for well-known cities (Bukhara, Samarkand, Kokand, …) and the 12 Tashkent
# city districts keep the names seeded in 00003 (Chilanzar, Sergeli, …).
#
# HUMAN VERIFICATION NEEDED before launch: (1) the English names; (2) changes made after the
# 2022-04-20 revision are not in this file (e.g. public datasets list Baxt as a city of
# Sirdaryo region, code 1724414); compare with the current revision on stat.uz / nrm.uz.
# Tashkent city: 12 districts; all regions: 206 units
# (175 districts, 31 cities).
soato,region,kind,slug,name_uz,name_uz_cyrl,name_ru,name_en,sort_order
1703401,andijan,city,andijan-andijon-city,Andijon shahri,Андижон шаҳри,г. Андижан,Andijan City,10
1703408,andijan,city,andijan-khonobod-city,Xonobod shahri,Хонобод шаҳри,г. Ханабад,Khanabad City,20
1703203,andijan,district,andijan-andijon,Andijon tumani,Андижон тумани,Андижанский район,Andijan District,30
1703224,andijan,district,andijan-asaka,Asaka tumani,Асака тумани,Асакинский район,Asaka District,40
1703206,andijan,district,andijan-baliqchi,Baliqchi tumani,Балиқчи тумани,Балыкчинский район,Baliqchi District,50
1703209,andijan,district,andijan-boston,Bo'ston tumani,Бўстон тумани,Бустонский район,Boston District,60
1703210,andijan,district,andijan-buloqboshi,Buloqboshi tumani,Булоқбоши тумани,Булакбашинский район,Buloqboshi District,70
1703214,andijan,district,andijan-izboskan,Izboskan tumani,Избоскан тумани,Избасканский район,Izboskan District,80
1703211,andijan,district,andijan-jalaquduq,Jalaquduq tumani,Жалақудуқ тумани,Жалакудукский район,Jalaquduq District,90
1703227,andijan,district,andijan-markhamat,Marxamat tumani,Мархамат тумани,Мархаматский район,Markhamat District,100
1703202,andijan,district,andijan-oltinkol,Oltinko'l tumani,Олтинкўл тумани,Алтынкульский район,Oltinkol District,110
1703232,andijan,district,andijan-pakhtaobod,Paxtaobod tumani,Пахтаобод тумани,Пахтаабадский район,Pakhtaobod District,120
1703220,andijan,district,andijan-qorgontepa,Qo'rg'ontepa tumani,Қўрғонтепа тумани,Кургантепинский район,Qorgontepa District,130
1703230,andijan,district,andijan-shakhrikhon,Shaxrixon tumani,Шахрихон тумани,Шахриханский район,Shakhrikhon District,140
1703217,andijan,district,andijan-ulugnor,Ulug'nor tumani,Улуғнор тумани,Улугнорский район,Ulugnor District,150
1703236,andijan,district,andijan-khojaobod,Xo'jaobod tumani,Хўжаобод тумани,Ходжаабадский район,Khojaobod District,160
1706401,bukhara,city,bukhara-bukhoro-city,Buxoro shahri,Бухоро шаҳри,г. Бухара,Bukhara City,10
1706403,bukhara,city,bukhara-kogon-city,Kogon shahri,Когон шаҳри,г. Каган,Kagan City,20
1706207,bukhara,district,bukhara-bukhoro,Buxoro tumani,Бухоро тумани,Бухарский район,Bukhara District,30
1706215,bukhara,district,bukhara-gijduvon,G'ijduvon tumani,Ғиждувон тумани,Гиждуванский район,Gijduvon District,40
1706246,bukhara,district,bukhara-jondor,Jondor tumani,Жондор тумани,Жондорский район,Jondor District,50
1706219,bukhara,district,bukhara-kogon,Kogon tumani,Когон тумани,Каганский район,Kagan District,60
1706204,bukhara,district,bukhara-olot,Olot tumani,Олот тумани,Алатский район,Olot District,70
1706240,bukhara,district,bukhara-peshku,Peshku tumani,Пешку тумани,Пешкунский район,Peshku District,80
1706230,bukhara,district,bukhara-qorakol,Qorako'l tumani,Қоракўл тумани,Каракульский район,Qorakol District,90
